Week, Day, Concept, Task, Level, Confidence, Completed, Instructions

25, 1, -, -, -, 0-10, FALSE, -
25, 2, -, -, -, 0-10, FALSE, -
25, 3, -, -, -, 0-10, FALSE, -
25, 4, -, -, -, 0-10, FALSE, -
25, 5, -, -, -, 0-10, FALSE, -

26, 1, -, -, -, 0-10, FALSE, -
26, 2, -, -, -, 0-10, FALSE, -
26, 3, -, -, -, 0-10, FALSE, -
26, 4, -, -, -, 0-10, FALSE, -
26, 5 ,-, -, -, 0-10, FALSE, -

27, 1, -, -, -, 0-10, FALSE, -
27, 2, -, -, -, 0-10, FALSE, -
27, 3, -, -, -, 0-10, FALSE, -
27, 4, -, -, -, 0-10, FALSE, -
27, 5, -, -, -, 0-10, FALSE, -

28, 1, -, -, -, 0-10, FALSE, -
28, 2, -, -, -, 0-10, FALSE, -
28, 3, -, -, -, 0-10, FALSE, -
28, 4, -, -, -, 0-10, FALSE, -
28, 5, -, -, -, 0-10, FALSE, -

29, 1, -, -, -, 0-10, FALSE, -
29, 2, -, -, -, 0-10, FALSE, -
29, 3, -, -, -, 0-10, FALSE, -
29, 4, -, -, -, 0-10, FALSE, -
29, 5, -, -, -, 0-10, FALSE, -

30, 1, -, -, -, 0-10, FALSE, -
30, 2, -, -, -, 0-10, FALSE, -
30, 3, -, -, -, 0-10, FALSE, -
30, 4, -, -, -, 0-10, FALSE, -
30, 5, -, -, -, 0-10, FALSE, -

31, 1, -, -, -, 0-10, FALSE, -
31, 2, -, -, -, 0-10, FALSE, -
31, 3, -, -, -, 0-10, FALSE, -
31, 4, -, -, -, 0-10, FALSE, -
31, 5, -, -, -, 0-10, FALSE, -

32, 1, -, -, -, 0-10, FALSE, -
32, 2, -, -, -, 0-10, FALSE, -
32, 3, -, -, -, 0-10, FALSE, -
32, 4, -, -, -, 0-10, FALSE, -
32, 5, -, -, -, 0-10, FALSE, -

33, 1, -, -, -, 0-10, FALSE, -
33, 2, -, -, -, 0-10, FALSE, -
33, 3, -, -, -, 0-10, FALSE, -
33, 4, -, -, -, 0-10, FALSE, -
33, 5, -, -, -, 0-10, FALSE, -

34, 1, -, -, -, 0-10, FALSE, -
34, 2, -, -, -, 0-10, FALSE, -
34, 3, -, -, -, 0-10, FALSE, -
34, 4, -, -, -, 0-10, FALSE, -
34, 5, -, -, -, 0-10, FALSE, -

35, 1, -, -, -, 0-10, FALSE, -
35, 2, -, -, -, 0-10, FALSE, -
35, 3, -, -, -, 0-10, FALSE, -
35, 4, -, -, -, 0-10, FALSE, -
35, 5, -, -, -, 0-10, FALSE, -

36, 1, -, -, -, 0-10, FALSE, -
36, 2, -, -, -, 0-10, FALSE, -
36, 3, -, -, -, 0-10, FALSE, -
36, 4, -, -, -, 0-10, FALSE, -
36, 5, -, -, -, 0-10, FALSE, -
